V	TP	FP	TN	FN
1	2100	27	2652	695
2	2389	284	2395	437
3	2042	0	1365	2005
4	630	0	1365	3404
5	1259	415	2867	730
6	1649	173	3624	0
7	247	263	3912	1037
8	881	1291	2885	431
9	1706	156	2736	914
10	1737	158	2734	890
11	1617	245	2791	859
12	465	1	1389	1418
13	14	611	4751	0
14	862	892	3638	13
15	0	0	532	4950
16	247	263	3912	1037
17	11	2498	2992	17
18	802	906	3624	0
19	2169	0	884	2486
20	13	2287	3203	17
21	2250	0	22	3266
22	1872	0	2651	1000
23	713	575	1734	2485
24	81	3022	2257	12
25	195	2483	2796	65
26	896	906	3624	0
27	422	798	3376	804
28	424	798	3377	879
29	447	801	3374	636
30	802	906	3624	0
Tot	28942	20759	80554	25537
