V	P	R	F
1	0.986	0.668	0.797
2	0.989	0.842	0.91
3	1.0	0.155	0.269
4	1.0	0.156	0.27
5	0.748	0.62	0.678
6	0.905	1.0	0.95
7	0.484	0.192	0.275
8	0.997	0.291	0.451
9	0.916	0.651	0.761
10	0.917	0.661	0.768
11	0.868	0.653	0.746
12	1.0	0.049	0.094
13	0.022	1.0	0.044
14	0.491	0.985	0.656
15	null	0	0
16	0.484	0.192	0.275
17	0.004	0.321	0.009
18	0.47	1.0	0.639
19	1.0	0.356	0.525
20	0.005	0.333	0.01
21	1.0	0.115	0.206
22	1.0	0.652	0.789
23	0.554	0.223	0.318
24	0.046	0.806	0.088
25	0.072	0.585	0.129
26	0.497	1.0	0.664
27	0.346	0.344	0.345
28	0.347	0.325	0.336
29	0.358	0.413	0.384
30	0.47	1.0	0.639
Tot	0.595	0.407	0.484
