V	TP	FP	TN	FN
1	347	0	1130	0
2	534	0	722	283
3	649	0	30	905
4	382	0	1200	0
5	578	0	30	990
6	466	0	1006	124
7	487	0	30	1055
8	407	0	30	1170
9	718	0	722	159
10	464	0	722	408
11	123	0	1027	161
12	479	0	30	1029
13	173	0	722	443
14	284	0	1200	0
15	578	0	30	990
16	408	0	30	1100
17	445	0	30	1098
18	698	0	30	851
19	460	0	30	1099
20	709	0	722	159
21	711	0	722	159
22	737	0	722	138
23	685	0	722	159
24	741	0	722	138
25	402	0	1200	0
26	624	0	30	943
27	578	0	30	990
28	429	0	722	381
29	470	0	722	398
30	509	0	722	319
31	464	0	722	408
32	406	0	722	478
33	391	0	30	1098
34	483	0	30	1016
35	429	0	722	381
36	0	284	1200	0
37	469	163	881	0
38	640	0	30	851
39	402	0	1200	0
40	284	0	722	478
41	382	0	1200	0
Tot	19625	163	22046	20359
