V	P	R	F
1	0.46	1.0	0.63
2	1.0	1.0	1.0
3	1.0	1.0	1.0
4	0.246	1.0	0.395
5	1.0	1.0	1.0
6	0.377	1.0	0.547
7	1.0	0.551	0.711
8	1.0	1.0	1.0
9	0.559	1.0	0.717
10	0.558	1.0	0.716
11	0.482	1.0	0.651
12	1.0	0.754	0.86
13	1.0	1.0	1.0
14	0.373	1.0	0.543
15	1.0	1.0	1.0
16	1.0	0.541	0.702
17	1.0	0.552	0.711
18	1.0	1.0	1.0
19	1.0	1.0	1.0
20	0.556	1.0	0.715
21	0.557	1.0	0.715
22	0.558	1.0	0.717
23	1.0	1.0	1.0
24	0.56	1.0	0.718
25	0.256	1.0	0.407
26	1.0	1.0	1.0
27	1.0	1.0	1.0
28	1.0	1.0	1.0
29	0.556	1.0	0.715
30	1.0	1.0	1.0
31	0.558	1.0	0.716
32	0.561	1.0	0.719
33	1.0	0.535	0.697
34	1.0	0.771	0.87
35	1.0	1.0	1.0
36	0	null	0
37	0.593	1.0	0.744
38	1.0	0.536	0.698
39	0.256	1.0	0.407
40	1.0	1.0	1.0
41	0.246	1.0	0.395
Tot	0.717	0.896	0.796
